time,trajectories1,trajectories2
50.866,299.928,1350.259
50.933,215.409,1253.418
50.999,292.943,1198.246
51.066,384.467,1111.222
51.133,416.402,1014.690
51.199,450.950,827.642
51.266,473.232,712.233
51.333,396.729,581.558
51.399,406.822,458.944
51.466,452.232,430.882
51.533,463.839,489.727
51.599,403.343,551.134
51.666,286.105,610.884
51.733,229.341,668.881
51.799,230.186,876.799
51.866,266.352,1004.403
51.933,365.385,1117.723
51.999,510.972,1240.291
52.066,621.928,1360.119
52.133,664.075,1516.966
52.199,621.382,1610.834
52.266,665.839,1679.942
52.333,577.600,1716.655
52.399,511.194,1757.525
52.466,614.327,1847.398
52.533,694.333,1869.205
52.599,778.060,1824.685
52.666,957.758,1821.513
52.733,1099.885,1873.231
52.799,1131.315,1931.307
52.866,1223.362,1801.135
52.933,1331.152,1795.234
52.999,1485.330,1692.001
53.066,1562.960,1681.620
53.133,1595.306,1513.000
53.199,1751.226,1462.527
53.266,1718.093,1336.909
53.333,1689.956,1279.442
53.399,1766.110,1218.957
53.466,1822.363,1169.393
53.533,1917.729,1105.062
53.599,1832.815,1033.536
53.666,1771.891,960.907
53.733,1693.839,918.006
53.799,1614.595,930.566
53.866,1485.719,976.552
53.933,1313.457,974.926
53.999,1189.209,1024.494
54.066,1091.806,1082.760
54.133,1015.401,1137.938
54.199,1041.023,1162.983
54.266,1050.516,1159.125
54.333,1069.674,1176.974
54.399,951.410,1218.065
54.466,935.974,1257.338
54.533,925.288,1273.234
54.599,974.673,1312.429
54.666,918.074,1346.580
54.733,831.447,1382.157
54.799,864.982,1449.088
54.866,945.915,1475.064
54.933,1036.379,1469.976
54.999,1172.126,1464.454
55.066,1220.449,1417.286
55.133,1231.811,1372.505
55.199,1326.031,1335.679
55.266,1456.980,1249.757
55.333,1607.665,1327.063
55.399,1740.257,1400.084
55.466,1780.809,1482.026
55.533,1855.705,1340.259
55.599,1923.334,1251.742
55.666,1954.752,1153.591
55.733,1944.870,1027.208
55.799,1955.893,919.279
55.866,1840.986,799.009
55.933,1830.099,675.831
55.999,1689.831,662.419
56.066,1520.315,740.132
56.133,1344.899,774.036
56.199,1137.856,777.814
56.266,1055.887,843.525
56.333,878.232,908.461
56.399,827.680,941.099
56.466,736.478,1053.071
56.533,703.207,1181.463
56.599,711.418,1246.205
56.666,658.710,1346.713
56.733,637.756,1417.868
56.799,686.141,1551.752
56.866,842.627,1615.345
56.933,1019.105,1705.914
